observation_date,ITCELSETSP2KEN
1960-01-01,0.000000000
1961-01-01,
1962-01-01,
1963-01-01,
1964-01-01,
1965-01-01,0.000000000
1966-01-01,
1967-01-01,
1968-01-01,
1969-01-01,
1970-01-01,0.000000000
1971-01-01,
1972-01-01,
1973-01-01,
1974-01-01,
1975-01-01,0.000000000
1976-01-01,0.000000000
1977-01-01,0.000000000
1978-01-01,0.000000000
1979-01-01,0.000000000
1980-01-01,0.000000000
1981-01-01,0.000000000
1982-01-01,0.000000000
1983-01-01,0.000000000
1984-01-01,0.000000000
1985-01-01,0.000000000
1986-01-01,0.000000000
1987-01-01,0.000000000
1988-01-01,0.000000000
1989-01-01,0.000000000
1990-01-01,0.000000000
1991-01-01,0.000000000
1992-01-01,0.004461439
1993-01-01,0.004576275
1994-01-01,0.007614676
1995-01-01,0.008478944
1996-01-01,0.010233296
1997-01-01,0.023857485
1998-01-01,0.036914790
1999-01-01,0.079282155
2000-01-01,0.415770000
2001-01-01,1.897580000
2002-01-01,3.638150000
2003-01-01,4.727130000
2004-01-01,7.334780000
2005-01-01,12.883900000
2006-01-01,19.890300000
2007-01-01,29.838300000
2008-01-01,41.584000000
2009-01-01,47.921500000
2010-01-01,60.023400000
2011-01-01,65.673000000
2012-01-01,70.022700000
2013-01-01,70.754100000
2014-01-01,73.032700000
2015-01-01,80.095800000
2016-01-01,80.977200000
2017-01-01,87.026500000
2018-01-01,98.594500000
2019-01-01,106.548000000
2020-01-01,117.603000000
2021-01-01,122.298000000
2022-01-01,121.169000000
2023-01-01,120.612000000
